Title,Artist,Album,Status,Match Path
Toune De Bière (Martell Edit),Bob Bissonnette x Serj Elnitz & Michael Feiner,,NOT_FOUND,
Far l'Amore,Bob Sinclair & Raffaella Carra,Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/02 Far l'Amore.mp3
Rock This Party,Bob Sinclar,,NOT_FOUND,
Humpin' Around,Bobby Brown,Living in the 90'S -- Disk 1,NOT_FOUND,
Good Enough,Bobby Brown,,NOT_FOUND,
Closer To Free,Bodeans,,NOT_FOUND,
Ronda Rousey (Original Mix),Bombs Away,,NOT_FOUND,
You Give Love A Bad Name,Bon Jovi,Greatest Hits,NOT_FOUND,
It's My Life,Bon Jovi,Greatest Hits,NOT_FOUND,
I'll Be There For You,Bon Jovi,Greatest Hits,NOT_FOUND,
Bed Of Roses,Bon Jovi,Greatest Hits,NOT_FOUND,
Always,Bon Jovi,Greatest Hits,NOT_FOUND,
Blaze Of Glory,Bon Jovi,1990 Top 100,NOT_FOUND,
Always,Bon Jovi,,NOT_FOUND,
This Ain't A Love Song,Bon Jovi,,NOT_FOUND,
Always,Bon Jovi,,NOT_FOUND,
Bed of Roses,Bon Jovi,,NOT_FOUND,
1st Of Tha Month,Bone Thugs N Harmony,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Look Into My Eyes,Bone Thugs N Harmony,1997,NOT_FOUND,
Crossroads,Bone Thugs N Harmony,,NOT_FOUND,
Something To Talk About,Bonnie Raitt,1991 Top 100,NOT_FOUND,
Love Sneakin' Up On You,Bonnie Raitt,,NOT_FOUND,
I Can't Make You Love Me,Bonnie Raitt,,NOT_FOUND,
Break The House (Original Mix),Borgeous & Tony Junior,,NOT_FOUND,
Sweet Dreams,La Bouche,,NOT_FOUND,
That's What Love Can Do,Boy Krazy,,NOT_FOUND,
I'll Make Love To You,Boyz II Men,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
Motownphilly,Boyz II Men,1991 Top 100,NOT_FOUND,
End Of The Road,Boyz II Men,,NOT_FOUND,
I'll Make Love To You,Boyz II Men,,NOT_FOUND,
On Bended Knee,Boyz II Men,,NOT_FOUND,
In The Still Of The Night,Boyz II Men,,NOT_FOUND,
Water Runs Dry,Boyz II Men,,NOT_FOUND,
4 Seasons Of Loneliness,Boyz II Men,,NOT_FOUND,
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,,NOT_FOUND,
Uhh Ahh,Boyz II Men,,NOT_FOUND,
Thank You,Boyz II Men,,NOT_FOUND,
Baby,Brandy,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
I Wanna Be Down,Brandy,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
Broken Hearted,Brandy,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Best Friend,Brandy,Billboard Hits - 1995 - Disk 6,NOT_FOUND,
Sittin' Up In My Room,Brandy,,NOT_FOUND,
I Wanna Be Down,Brandy,,NOT_FOUND,
One Last Cry,Brian McKnight,,NOT_FOUND,
I Wanna Go (Martin & Souza Club Mix),Britney Spears,www.livingelectro.com,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Britney Spears - I Wanna Go (Martin & Souza Club Mix) www.livingelectro.com.mp3
Gimme More (Dj Cosmic XTD Reggaeton 2),Britney Spears feat. Dance-O-Die,,NOT_FOUND,
If You Love Me,Brownstone,,NOT_FOUND,
Streets Of Philadelphia,Bruce Springsteen,,NOT_FOUND,
Locked Out Of Heaven (Sultan & Ned Shepard Remix) COSMIC REBUILD,Bruno Mars,,NOT_FOUND,
24K Magic (Cristian Tomas Extended Remix) MASTER,Bruno Mars,,NOT_FOUND,
Please Forgive Me,Bryan Adams,So Far So Good,NOT_FOUND,
Do I Have To Say The Words,Bryan Adams,So Far So Good,NOT_FOUND,
Can't Stop This Thing We Started,Bryan Adams,1991 Top 100,NOT_FOUND,
Have You Ever Really Loved A Woman,Bryan Adams,,NOT_FOUND,
Thought I'd Died And Gone To Heaven,Bryan Adams,,NOT_FOUND,
(Everything I Do) I Do It For You,Bryan Adams,,NOT_FOUND,
All For Love,"Bryan Adams, Sting & Rod Stewart",,NOT_FOUND,
