Title,Artist,Album,Location,Duration,Persistent ID
I Adore Mi Amor,Color Me Badd,,,291.76,DBC880F87477359B
"The Earth, The Sun, The Rain",Color Me Badd,,,218.93,A70E879E401B90E6
Slow Motion,Color Me Badd,,,265.72,874CEDC4B82551B0
Thinkin' Back,Color Me Badd,,,322.22,D76A2BF180DA4752
Gangstas Paradise,Coolio,,,241.48,5C164EC3C4F0765D
"1, 2, 3, 4 (Sumpin' New)",Coolio,,,266.42,24496A560F742964
Gangsta's Paradise,Coolio & LV,Billboard Hits - 1995 - Disk 1,,241.48,14AC10451EF542DA
Temptation,Corina,1991 Top 100,,239.49,D7D5068D780B209F
We Can't Go Wrong,Cover Girls,1990 Top 100,,314.91,A0CD967FAB379FB3
Wishing On A Star,Cover Girls,,,282.98,61A1B18EF117112D
Flava In Ya Ear,Craig Mack,,,217.18,5FADC4A59D12CFE8
Linger,Cranberries,,,272.85,DA39B8C0D3931AD4
Mmm Mmm Mmm Mmm,Crash Test Dummies,,,235.10,60BEE0BF2A538663
Give Into The Bass (Remix),Crew Ft. Dirty Impact & Funkytunerockers,,,255.95,6C23A1D6AB265D44
ENGLISHMAN IN NEW YORK (Willy William Club Mix),CRIS CAB ft. WILLY WILLIAM,,,302.26,E403991AAC877BED
Hay,Crucial Conflict,,,264.28,65EF8E74F00413AD
100% Pure Love (32 Intro),Crystal Waters,,,300.04,ED18A799A1D834B4
100% Pure Love (32 Intro),Crystal Waters,,,300.04,70249493839243AB
Mr Vain,Culture Beat,,,336.82,D9F48595C7E3E9DE
Friday I'm In Love,Cure,,,214.41,484490C9D5B54F07
I Don't Believe It,Cutty Ranks,"Singles Pack ""05/31/2014"" - [www.dancehallzone.net]",,267.23,969EEC3AF65E2727
Insane In The Brain,Cypress Hill,,,209.21,961E13424F9BD7C0
C'mon And Get My Love,D-Mob & Cathy Dennis,1990 Top 100,,230.09,650DC6FA3DF33614
Detonate (Original Mix),D-wayne & Leon Bolier,,,352.15,B515D88A8DA4DD85
Brown Sugar,D'Angelo,Billboard Hits - 1995 - Disk 5,,262.61,4521E917F91E417D
Lady,D'angelo,,,345.39,5F4F3292BDF5C808
Give It 2 You,Da Brat,Billboard Hits - 1995 - Disk 6,,192.86,C23DD0D369298DB9
Funkdafied,Da Brat,,,185.78,40569BBFD60ED50E
Forgot About Touch It Rave (Bloodtone x Kronic & Dimatik x Glowinthedark Bootleg),"Dada Life, Daft Punk, Fat Boy Slim x Dr. Dre & Eminem",Facebook.com/bloodtone // Soundcloud.com/bloodtone,,258.85,1EEBC9FD520C5D0B
High Enough,Damn Yankees,1991 Top 100,,259.13,90513C0583FE75F6
5 O'Clock,Dan D-Noy,Summer Session 11,,230.84,60A0882371162DEA
House Mix 2007,Dance Club Remixes,,,263.31,AAC04FF2980F2492
Talk It Out,Danielle D.I. & Tiana,"Singles Pack ""05/31/2014"" - [www.dancehallzone.net]",,300.36,3721E583FA32F0E8
They Want EFX,Das EFX,,,219.30,0775017D9208D5A8
Dash Berlin & Syzz - This Is Who We Are (Club Mix)[www.livingelectro.com],Dash Berlin & Syzz,,,297.12,39F1D8FD3D2C3395
(MASTER) All Night (Dj Moneykey Remix),David Franco,,,279.67,F43153B3782168D2
All Night (Dj Cosmic Club Mix),David Franco feat. FiNk,,,233.90,A489F5DFEB05925F
Little Bad Girl (Instrumental Version),David Guetta,Nothing But The Beat (CD2),,311.93,6CDB37E745D269EC
Metro Music,David Guetta,Nothing But The Beat (CD2),,220.29,B1175370C0C615B5
Toy Story,David Guetta,Nothing But The Beat (CD2),,208.88,7443084D6FEEA440
The Future,David Guetta,Nothing But The Beat (CD2),,161.49,C01500F82744D30E
Dreams,David Guetta,Nothing But The Beat (CD2),,194.95,64DEAB51D8185546
Glasgow,David Guetta,Nothing But The Beat (CD2),,313.76,398662B2DE77FD63
Paris,David Guetta,Nothing But The Beat (CD2),,280.76,D480CA19CB462DC3
Hey Mama (Acapella Clean),David Guetta & Afrojack ft. Nicki Minaj,,,188.05,FBD2CB52C22261B8
BAD (Original Mix)www.livingelectro.com,David Guetta & Showtek feat. Vassy,,,270.13,8649C340A610D8B2
Dangerous (Banging SoundMan Club Hitter),David Guetta Feat Sam Martin,,,375.20,81C840B1FAC24006
Dangerous (Banging SoundMan Quick Hitter),David Guetta Feat Sam Martin,,,262.74,151B7A6976A2F65D
Sexy Bitch (Dj Cosmic CLEAN Club Mix) vs. Chuckie Remix,David Guetta feat. Akon,,,300.04,770ED83AFCAE6D9B
Who's That Chick (Afrojack Dub Remix),David Guetta ft Rihanna,,,360.96,1FC565D6DE867A36
Memories,David Guetta ft. Kid CuDi,One Love,,210.10,7895537BD17688F4
Choose,David Guetta Ft. Ne-Yo & Kelly Rowland,One More Love (CD1),,238.21,04AA4195EFEF9A0F
Missing You,David Guetta ft. Novel,One Love,,188.29,5C57FFA284DDA99C
Titanium (Official Instrumental),David Guetta ft. Sia,,,249.78,8401E8D2301C10C0
I Wanna Go Crazy,David Guetta ft. Will I Am,Summer Session 11,,238.08,A551C2508394461C
BAD (DJ SoundMan Quick Hitter),David Guetta Showtek Feat Vassy,,,183.90,CBC41EBDD50EAF8D
Sun Goes Down (Extended Mix),"David Guetta, Showtek feat. Magic! & Sonny Wilson",,,258.06,5B09E6C0A2F7D206
Venus vs. Mars,"David Latour, Hi-Mode & Narco",Summer Session 11,,263.23,6B059557CB039F69
Some Chords,Deadmau5,4x4=12 (Deluxe Version),,444.14,382D2458001A82A0
G6 N Stuff (Inphinity Bootleg),Deadmau5 vs. Far East Movement ft. Dev & Cataracs,Inphinity Bootleg,,273.29,B40BDFAA4149BD8C
Who Do U Love,Deborah Cox,,,261.93,BFE8E9CFED52FC8E
Groove Is In The Heart,Dee-Lite,,,232.33,42AB9BD44507331C
Breakfast At Tiffany's,Deep Blue Something,,,256.03,1A3AABAD99140A19
Have You Ever Needed Someone So Bad,Def Leppard,Adrenalize,,324.02,21C4A9D3624C0190
Let's Get Rocked,Def Leppard,Adrenalize,,296.28,5DF77FE7B897A776
Two Steps Behind,Def Leppard,Vault - Greatest Hits 1980-199,,259.55,A4ED35EBB0AE57D8
Roll To Me,Del Amitri,Billboard Hits - 1995 - Disk 4,,131.76,D40A76A39E8425CA
Shuri Shuri (Dj Cosmic Bodybangers Hype Rebuild),Denis Naidanow feat. Juan Magan,,,245.73,2C69EECCF5A6D754
Five Hours (Cosmic Rebuild),Deorro,,,292.55,D73EC466774DDC6B
Red Lips (Original Mix) (feat. Pasha),Deorro,Elevation EP,,176.80,5FDB2D535415BB96
Cayendo (Original Mix) (feat. Tess Marie),Deorro,Elevation EP,,241.01,35285603FAA24CF9
Elevated (Original Mix) (feat. Erick Gold),Deorro,Elevation EP,,306.15,39298898E55060F2
Queef (Original Mix) www.livingelectro.com,Deorro & Joel Fletcher,,,270.05,63F7492DFCAFE049
Enjoy The Silence,Depeche Mode,,,247.59,3049579336875375
You Gotta Be,Des'ree,,,244.27,9598B13820682838
Shy Guy,Diana King,,,220.21,61CC316FC01061F8
5150 Call The Popo,Dierks Bentley,,,183.07,FB53D99DFA48D7D7
Rebirth Of Slick (Cool Like Dat),Digable Planets,1993 Top 100,,261.04,9C92DFDC313A8CAB
Cognac (Martell Edit),Digi-Boyz x Plume x Bassjackers,,,171.78,442CB4A07011A5F1
Higher Place (Bassjackers remix) vs. Wave Your Hands,Dimitri Vegas & Like Mike,,,322.04,75877C8804693C39
NOVA (Original Mix),Dimitri Vegas & Like Mike & Tujamo & Felguk,,,252.73,05284892EFD3E69D
G.I.P.S.Y. (Original Mix),Dimitri Vegas & Like Mike vs Boostedkids,,,313.29,0932C320CB9D000A
Dimitri Vegas & Like Mike vs. Ummet Ozcan - The Hum (Original Mix)www.livingelectro.com,Dimitri Vegas & Like Mike vs. Ummet Ozcan,,,356.15,B9F4744BBF8C6D62
Melody (DJ Moneykey Edit),Dimitri Vegas and Like Mike,,,215.62,4C7E1312B3C88F54
The Hum (DJ SoundMan Quick Hitter),Dimitri Vegas Like Mike ft Ummet Ozcan,,,280.82,494F1CC2FC5A5EAF
Tremor - Dynamiq Hype Edit,"Dimitri Vegas, Martin Garrix and Like Mike",Tremor,,152.42,91AA1AC26B386E22
Tremor (Drop Dopers Deep Bootleg),"Dimitri Vegas, Martin Garrix, Like Mike",,,310.31,A0743759D5E73A74
Ooh Child,Dino,1993 Top 100,,241.61,BDAD92E3E378514E
Romeo,Dino,,,247.14,DC6406B8F9194BED
I Know,Dionne Farris,,,227.32,795CDA29FE5FF6AB
Tom's Diner,Dirty Impact vs Royal XTC,Summer Session 11,,253.23,85B82D9CD6A8362C
Counting Blue Cars,Dishwalla,,,290.43,AB2A08DE7DBD943E
I Touch Myself,Divinyls,Living In The 90's - Disk 2,,227.29,574F90B085700782
Ma Cherie (Remay Radio Edit),DJ Antoine ft The Beat Shakers,,,262.19,EE09A72D788271AE
Can You Feel It (Deep House Remix),DJ Ariana Gomez,,,288.52,27B3C9BDBE9B5B34
Electro House 2010 (WICKED MIX),DJ BL3ND,,,287.14,4104036D2C54196B
Electro House 2011 (SWAGGA MIX),DJ BL3ND,,,611.13,AA1C7ED8F7E91D76
Electro House 2011 (EN3RGY MIX),DJ BL3ND,,,592.33,8572918AA400831E
Let The Bass Kick In Miami (Dj Cosmic Blend),Dj Chuckie,,,406.65,7FAB7CF4B9DF6E32
Blu Sky Holiday (Extended Mix),DJ F.R.A.N.K featuring Craig Smart,,,297.06,EB1A7CA982D9D477
Summertime,DJ Jazzy & The Fresh Prince,1991 Top 100,,273.32,B64C6A1D5DAC0487
We Taking Over,"DJ Khaled Feat. T.I., Akon, Rick Ross, Baby, Lil Wayne",,,268.20,5DA3AD516058D184
Latin Injection (Dj Cosmic Rebuild),Dj Silence,,,243.02,476770DDDA729C0F
Latin Injection (Cosmic vs. Asino Remix Hype Rebuild),Dj Silenco,,,337.55,B7AB533F5ACAB515
Turn Down For What Vs. Deez Nutz,DJ Snake,,,176.38,F73C2AC524F8C581
Turn Down For What Vs. Deez Nutz,DJ SNAKE ft LIL JON,,,176.38,5F4503FC9C277293
Electro House Bass (Original Mix),DJ Solovey,June 2009 - Best 150 Club & Party Music - DG-Lito!,,369.87,51B4722893CBD435
Catchin' Up,DJ Solovey,www.livingelectro.com,,321.31,506D472F122BB4CD
Dance Techno Rave Happy Hardcore Bonkers,"DJ Tiesto, Happy Hardcore, Better Off Alone Vs Zombie Nation",,,173.81,A94263F50C57BFCB
Party Rock Anthem 2011 ( Club Remix ),DJ Veleno,,,346.10,54854EF036C55923
Po Pimp,Do Or Die,,,234.84,9294545CAC4D89E4
Ghetto Jam,Domino,,,258.56,F762E2BF3D4F29D9
I Love You Always Forever,Donna Lewis,20 Ans RTL 2,,237.30,940C67CA5AF0A809
